0.631, 6.988, 1.07
1.094, 2.202, 1.231
0.168, 0.34, 0.153
0.573, 2.252, 0.825
0.072, 0.043, 0.019
0.47, 4.024, 0.876
0.45, 4.024, 0.874
0.465, 4.024, 0.89
0.405, 3.404, 0.819
0.898, 3.404, 1.683
0.238, 0.435, 0.202
0.309, 0.994, 0.387
0.428, 0.994, 0.57
0.447, 3.996, 0.945
1.065, 3.996, 1.985
0.233, 0.415, 0.193
0.215, 0.472, 0.18
0.243, 0.472, 0.269
0.466, 3.845, 0.915
1.023, 3.845, 1.912
0.233, 0.415, 0.193
0.215, 0.47, 0.179
0.242, 0.47, 0.268
0.469, 3.869, 0.92
1.032, 3.869, 1.922
0.239, 0.437, 0.203
0.215, 0.468, 0.178
0.241, 0.468, 0.267
1.306, 2.42, 1.146
0.412, 1.642, 0.544
0.232, 0.479, 0.165
0.188, 0.321, 0.15
0.226, 0.479, 0.236
0.792, 1.552, 0.882
1.06, 6.988, 1.759
0.441, 1.879, 0.567
0.285, 0.855, 0.414
0.225, 0.479, 0.235
1.457, 4.216, 1.984
0.847, 19.266, 2.321
0.247, 0.32, 0.16
0.546, 2.279, 0.557
0.644, 2.279, 0.7
0.955, 2.034, 0.836
0.915, 2.633, 0.895
0.719, 2.633, 0.894
0.45, 2.655, 0.626
0.38, 2.655, 0.545
0.385, 0.872, 0.496
0.544, 2.652, 0.739
0.657, 2.652, 0.828
0.748, 2.652, 1.114
0.212, 0.329, 0.15
0.138, 0.194, 0.099
1.271, 2.347, 1.151
2.319, 17.898, 4.264
0.486, 0.905, 0.453
2.171, 15.045, 4.237
3.621, 14.977, 6.486
1.494, 3.615, 1.492
1.802, 3.615, 1.816
2.162, 15.975, 3.571
1.96, 15.975, 3.687
2.17, 15.975, 4.097
0.707, 1.349, 0.691
1.012, 2.078, 0.802
0.815, 1.432, 0.614
1.553, 6.503, 2.302
3.51, 6.492, 3.27
0.238, 0.099, 0.055
1.466, 8.967, 2.091
0.759, 1.874, 0.996
1.217, 8.192, 1.643
1.228, 2.83, 1.039
0.851, 1.515, 0.761
1.143, 8.192, 1.72
1.172, 8.192, 1.772
2.494, 5.671, 2.941
1.079, 8.192, 1.71
0.794, 3.23, 1.418
0.741, 1.562, 0.634
0.443, 0.929, 0.299
0.547, 0.81, 0.442
0.584, 1.114, 0.441
0.663, 1.028, 0.514
3.132, 7.914, 3.246
4.007, 7.914, 3.957
6.594, 28.086, 6.726
2.088, 3.205, 1.148
8.552, 22.89, 7.236
8.988, 22.89, 7.134
9.801, 22.89, 8.443
5.51, 21.351, 5.967
5.404, 14.464, 5.229
3.63, 8.324, 3.422
3.621, 8.324, 4.309
4.386, 14.425, 5.85
5.193, 14.425, 8.127
7.861, 12.495, 4.794
9.511, 12.495, 4.744
1.338, 10.854, 1.938
0.338, 0.394, 0.163
0.857, 1.844, 0.866
1.136, 4.61, 1.282
0.437, 1.779, 0.571
0.214, 0.428, 0.172
1.538, 4.61, 1.407
0.337, 0.818, 0.391
1.79, 3.759, 1.28
1.089, 2.124, 0.889
2.403, 4.545, 2.024
2.412, 7.912, 2.794
1.604, 4.383, 2.031
0.789, 1.814, 0.786
0.668, 1.814, 0.852
1.984, 8.644, 3.32
1.097, 7.258, 1.675
0.864, 3.731, 1.155
1.173, 3.731, 1.354
1.153, 3.69, 1.579
1.457, 7.258, 2.408
1.67, 7.258, 2.737
1.72, 3.935, 1.909
0.995, 3.228, 1.242
0.22, 0.323, 0.15
2.136, 3.845, 1.923
0.641, 7.045, 1.046
0.954, 1.43, 0.789
0.157, 0.34, 0.155
0.579, 2.298, 0.839
0.074, 0.045, 0.021
0.456, 4.393, 0.778
0.432, 4.393, 0.763
0.445, 4.393, 0.776
0.49, 4.393, 1.104
0.042, 0.05, 0.02
0.089, 0.118, 0.055
1.205, 4.378, 1.711
1.517, 4.378, 2.507
0.387, 2.047, 0.628
0.056, 0.032, 0.015
0.089, 0.117, 0.055
0.812, 2.047, 0.923
0.732, 2.047, 1.168
0.416, 2.04, 0.637
0.056, 0.032, 0.015
0.089, 0.117, 0.055
0.81, 2.04, 0.921
0.73, 2.04, 1.164
0.415, 2.033, 0.635
0.056, 0.032, 0.015
0.089, 0.117, 0.055
0.809, 2.033, 0.919
0.727, 2.033, 1.16
1.289, 2.378, 1.132
0.422, 1.743, 0.562
0.233, 0.516, 0.177
0.185, 0.322, 0.15
0.252, 0.516, 0.263
0.8, 1.593, 0.892
1.013, 7.045, 1.76
0.451, 1.88, 0.566
0.284, 0.856, 0.415
0.25, 0.516, 0.262
1.41, 4.034, 1.898
1.04, 4.26, 1.35
0.536, 2.064, 0.726
0.167, 0.355, 0.164
1.524, 4.26, 2.007
0.607, 7.053, 0.993
1.098, 2.217, 1.239
0.168, 0.339, 0.153
0.581, 2.295, 0.839
0.074, 0.045, 0.021
0.413, 2.012, 0.626
0.382, 2.003, 0.6
0.397, 2.003, 0.613
0.315, 1.824, 0.584
0.042, 0.05, 0.02
0.089, 0.118, 0.055
0.763, 1.808, 0.846
0.642, 1.777, 1.012
0.4, 1.807, 0.593
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.763, 1.807, 0.846
0.642, 1.777, 1.012
0.399, 1.807, 0.592
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.763, 1.807, 0.846
0.642, 1.777, 1.012
1.289, 2.378, 1.131
0.416, 1.693, 0.552
0.229, 0.513, 0.17
0.192, 0.321, 0.15
0.234, 0.513, 0.25
0.795, 1.566, 0.885
1.031, 7.053, 1.767
0.445, 1.879, 0.566
0.286, 0.856, 0.413
0.233, 0.512, 0.249
1.424, 4.088, 1.923
1.501, 15.768, 2.57
0.255, 0.588, 0.315
1.186, 5.379, 1.945
2.038, 5.309, 2.934
1.744, 8.403, 3.004
0.843, 1.244, 0.682
0.672, 2.185, 0.685
0.451, 0.651, 0.291
1.603, 8.121, 2.572
2.446, 8.121, 3.892
0.915, 2.149, 0.835
1.122, 2.149, 0.924
1.882, 11.887, 2.71
2.157, 11.815, 3.299
2.979, 11.731, 4.509
1.475, 7.101, 2.813
1.823, 9.164, 2.365
2.412, 9.072, 2.998
2.866, 9.072, 3.675
1.796, 4.527, 1.639
0.328, 0.221, 0.156
1.653, 11.846, 2.728
3.824, 10.219, 4.4
1.475, 11.846, 2.57
1.264, 5.68, 1.788
0.381, 0.65, 0.268
1.518, 11.846, 2.742
3.173, 11.207, 4.671
1.537, 11.846, 2.92
1.487, 11.846, 2.976
1.919, 11.76, 3.811
0.251, 0.285, 0.116
1.363, 10.613, 2.706
2.911, 10.505, 4.142
0.427, 0.672, 0.257
0.255, 0.172, 0.121
1.113, 4.881, 1.598
1.99, 4.827, 2.113
0.322, 0.56, 0.203
0.254, 0.171, 0.121
2.354, 11.289, 3.589
0.646, 1.223, 0.555
1.188, 3.588, 1.221
0.992, 2.379, 1.101
1.646, 15.608, 2.605
3.132, 10.725, 4.176
1.607, 15.608, 2.555
0.738, 1.474, 0.573
0.582, 1.621, 0.478
0.488, 0.851, 0.323
0.57, 0.519, 0.28
1.635, 15.604, 2.467
1.237, 5.057, 2.201
1.664, 15.604, 2.498
2.523, 13.307, 4.171
1.735, 5.661, 2.373
1.605, 15.604, 2.346
1.08, 2.71, 1.292
1.645, 15.604, 2.397
3.068, 15.569, 5.289
2.248, 7.58, 3.638
1.534, 11.174, 2.004
0.999, 3.524, 1.478
1.564, 11.153, 2.048
1.564, 11.153, 2.062
2.918, 6.369, 2.746
1.471, 11.15, 2.014
1.15, 3.318, 1.148
0.666, 1.349, 0.636
1.366, 7.615, 1.815
1.394, 7.615, 1.928
0.44, 0.915, 0.401
0.891, 1.569, 0.552
0.788, 1.296, 0.543
1.344, 4.958, 1.846
0.538, 1.14, 0.429
1.538, 11.095, 2.65
0.833, 3.4, 0.94
0.635, 1.527, 0.484
0.428, 0.719, 0.3
1.655, 7.994, 2.128
2.126, 7.994, 2.55
3.887, 7.982, 3.642
1.515, 5.833, 1.873
1.306, 2.463, 1.235
1.103, 3.962, 1.349
1.158, 3.962, 1.497
0.449, 0.933, 0.36
1.704, 14.442, 3.14
3.156, 14.336, 6.325
1.241, 4.531, 1.432
1.806, 4.497, 1.808
1.385, 3.418, 1.438
0.255, 0.171, 0.121
4.388, 12.119, 4.963
0.556, 1.694, 0.555
0.354, 0.239, 0.115
1.014, 8.379, 1.664
0.986, 2.821, 1.18
1.099, 8.379, 1.902
1.768, 8.319, 2.643
3.254, 8.319, 3.601
0.692, 1.085, 0.44
0.255, 0.171, 0.121
2.224, 15.022, 4.869
0.531, 1.042, 0.465
1.064, 3.03, 1.202
1.01, 5.765, 1.523
0.447, 0.933, 0.347
0.238, 0.067, 0.034
2.17, 15.143, 4.126
3.421, 15.094, 6.606
1.932, 13.864, 3.488
2.108, 13.864, 3.733
0.873, 3.012, 1.038
0.205, 0.068, 0.036
1.994, 15.7, 4.096
2.087, 8.638, 3.728
2.088, 15.676, 4.829
2.51, 15.676, 5.381
0.621, 1.127, 0.465
3.391, 14.287, 5.502
1.116, 11.813, 2.081
1.388, 6.181, 2.315
1.097, 11.813, 2.103
0.783, 2.078, 0.76
0.573, 2.078, 0.73
0.25, 0.035, 0.018
0.987, 10.546, 1.92
0.726, 2.156, 0.892
1.087, 10.546, 2.157
1.584, 10.498, 2.798
3.267, 10.466, 4.94
0.565, 0.831, 0.377
0.565, 1.007, 0.369
0.255, 0.171, 0.121
2.413, 11.691, 4.023
0.414, 0.651, 0.306
0.819, 5.25, 1.422
1.285, 5.144, 2.295
0.633, 2.072, 0.746
0.791, 2.072, 0.852
2.28, 10.248, 3.498
0.378, 0.571, 0.27
1.757, 15.472, 3.161
2.286, 15.19, 4.677
3.514, 15.19, 6.642
2.139, 9.308, 4.137
1.657, 15.472, 2.832
1.855, 10.288, 3.118
1.061, 2.903, 1.172
1.614, 15.472, 2.847
2.868, 11.504, 4.907
1.444, 15.469, 3.048
2.255, 15.469, 4.513
1.34, 3.325, 1.392
0.968, 2.454, 0.841
1.111, 5.162, 2.044
0.52, 0.167, 0.118
1.679, 5.37, 1.669
2.136, 5.348, 2.224
1.687, 4.21, 1.496
0.541, 0.467, 0.33
1.308, 14.385, 2.187
3.32, 8.965, 3.149
1.255, 14.385, 2.149
0.751, 1.451, 0.553
1.152, 9.117, 2.373
0.551, 1.144, 0.397
0.468, 0.626, 0.272
0.6, 1.432, 0.465
0.524, 0.953, 0.441
1.305, 14.385, 2.212
2.055, 7.449, 2.428
1.319, 2.574, 1.026
3.496, 7.449, 3.632
1.429, 14.385, 2.382
1.428, 14.385, 2.392
1.883, 7.377, 2.326
1.053, 2.615, 1.058
1.341, 4.562, 1.776
1.304, 14.385, 2.305
3.084, 10.914, 4.544
1.265, 14.385, 2.281
1.093, 9.263, 1.903
2.215, 9.263, 3.686
3.356, 9.263, 4.408
0.712, 1.806, 0.571
0.738, 1.806, 0.583
0.709, 1.801, 0.728
0.723, 1.654, 0.575
0.748, 1.585, 0.643
0.679, 1.597, 0.636
0.684, 1.168, 0.826
1.981, 13.836, 3.54
3.175, 13.66, 5.979
1.599, 7.605, 2.241
2.347, 7.605, 2.705
0.476, 0.66, 0.467
1.147, 14.385, 2.066
0.713, 2.912, 0.702
0.633, 1.533, 0.527
0.72, 1.533, 0.648
0.789, 1.533, 0.704
0.74, 2.89, 0.763
0.918, 2.889, 1.231
0.738, 1.975, 0.668
0.836, 1.975, 0.706
0.681, 2.068, 0.676
0.593, 1.572, 0.693
0.805, 2.055, 0.74
0.959, 1.992, 0.753
1.804, 8.609, 2.38
2.453, 8.513, 3.226
0.488, 0.712, 0.266
1.139, 4.377, 1.374
1.43, 4.329, 1.663
0.365, 0.639, 0.219
2.243, 12.222, 3.264
1.994, 7.002, 3.382
3.411, 12.115, 4.639
0.456, 0.702, 0.269
0.748, 10.089, 1.436
2.687, 10.036, 3.952
0.507, 1.637, 0.492
0.392, 1.062, 0.393
0.46, 1.062, 0.477
0.539, 2.068, 0.603
0.576, 1.918, 0.765
0.571, 2.051, 0.646
0.664, 2.051, 0.684
0.522, 2.067, 0.578
0.399, 1.286, 0.486
0.674, 2.051, 0.671
0.806, 2.034, 0.692
0.857, 18.377, 1.735
0.169, 0.181, 0.091
0.538, 1.781, 0.553
0.602, 1.781, 0.849
0.645, 2.432, 0.806
0.833, 2.432, 1.126
1.006, 3.292, 1.096
0.715, 1.909, 0.873
0.677, 3.517, 0.95
0.486, 1.709, 0.608
0.144, 0.086, 0.038
0.723, 2.329, 0.719
0.34, 1.219, 0.403
0.184, 0.421, 0.169
0.744, 2.181, 0.774
0.644, 2.181, 0.834
0.667, 1.993, 0.64
1.005, 1.946, 0.813
0.535, 1.282, 0.574
1.28, 2.812, 1.306
1.553, 2.743, 1.451
0.631, 2.926, 0.931
1.407, 2.889, 1.335
0.144, 0.202, 0.088
0.775, 3.069, 1.086
1.597, 3.059, 1.525
0.161, 0.203, 0.086
0.774, 3.15, 1.083
1.596, 3.105, 1.531
0.2, 0.302, 0.124
0.635, 10.982, 1.265
0.893, 1.257, 0.691
0.157, 0.339, 0.155
0.594, 2.375, 0.865
0.079, 0.058, 0.027
0.416, 2.115, 0.633
0.383, 2.038, 0.602
0.398, 2.038, 0.615
0.316, 1.826, 0.584
0.043, 0.05, 0.02
0.09, 0.117, 0.055
0.763, 1.81, 0.847
0.642, 1.777, 1.012
0.401, 1.809, 0.593
0.056, 0.032, 0.015
0.09, 0.117, 0.055
0.763, 1.809, 0.847
0.642, 1.777, 1.012
0.399, 1.809, 0.592
0.056, 0.032, 0.015
0.089, 0.117, 0.055
0.763, 1.809, 0.847
0.642, 1.777, 1.012
0.991, 2.178, 0.935
0.426, 1.801, 0.563
0.242, 0.513, 0.171
0.201, 0.32, 0.153
0.239, 0.513, 0.253
0.789, 1.62, 0.881
1.33, 10.976, 2.769
0.448, 1.879, 0.565
0.289, 0.855, 0.411
0.237, 0.512, 0.251
1.72, 15.603, 2.978
0.443, 0.627, 0.256
0.761, 1.12, 0.349
0.854, 1.11, 0.619
1.832, 15.603, 3.536
2.054, 15.603, 4.662
3.35, 15.603, 6.87
1.275, 4.163, 2.004
1.636, 4.43, 1.721
2.181, 4.41, 1.769
1.513, 2.093, 1.157
0.834, 17.791, 2.241
0.166, 0.174, 0.087
0.676, 2.396, 1.007
0.496, 1.124, 0.348
0.43, 0.826, 0.301
0.339, 0.613, 0.299
0.464, 1.218, 0.38
0.47, 0.853, 0.338
0.477, 1.218, 0.443
0.681, 1.217, 0.537
0.827, 2.889, 0.897
1.013, 2.888, 1.087
1.107, 2.373, 1.198
0.876, 1.694, 0.694
0.948, 13.608, 1.944
0.262, 0.156, 0.078
0.531, 1.74, 0.84
0.933, 4.679, 1.709
0.08, 0.059, 0.028
0.716, 13.608, 1.654
0.698, 13.608, 1.666
0.715, 13.608, 1.69
0.986, 13.602, 2.425
0.058, 0.062, 0.025
0.11, 0.103, 0.044
3.124, 13.583, 5.261
4.618, 13.583, 7.804
0.813, 5.622, 1.398
0.64, 5.622, 1.351
0.082, 0.085, 0.039
0.254, 0.695, 0.328
1.383, 5.622, 2.158
0.346, 0.921, 0.529
0.509, 3.455, 0.892
0.048, 0.059, 0.025
0.092, 0.128, 0.061
1.088, 3.443, 1.335
1.225, 3.443, 1.951
0.515, 2.654, 0.788
0.058, 0.032, 0.014
0.09, 0.125, 0.058
0.907, 2.654, 1.099
0.935, 2.654, 1.519
0.417, 2.378, 0.682
0.056, 0.033, 0.016
0.089, 0.123, 0.057
0.86, 2.378, 1.012
0.843, 2.378, 1.359
1.919, 3.769, 1.792
1.645, 10.857, 3.097
0.58, 1.902, 0.659
0.268, 0.521, 0.241
2.165, 6.774, 3.213
1.201, 6.529, 1.813
0.523, 1.566, 0.552
0.2, 0.512, 0.242
1.419, 3.909, 1.844
1.58, 13.662, 2.67
0.244, 0.511, 0.261
1.607, 7.939, 2.739
2.945, 7.939, 4.496
1.025, 2.155, 0.909
1.289, 2.129, 1.09
1.696, 13.583, 3.804
3.205, 13.583, 5.87
0.737, 1.51, 0.631
0.978, 1.51, 0.755
1.436, 6.445, 2.012
0.736, 1.563, 0.71
0.866, 3.709, 1.098
1.089, 3.709, 1.574
0.86, 1.885, 0.789
1.11, 1.885, 0.965
2.367, 9.573, 3.286
2.184, 9.573, 3.501
0.81, 3.255, 1.084
0.246, 0.065, 0.033
0.882, 3.634, 1.097
0.981, 2.133, 0.797
0.848, 3.604, 1.57
1.329, 3.604, 2.015
3.088, 6.324, 3.169
0.503, 4.332, 0.773
0.802, 1.163, 0.618
0.104, 0.14, 0.072
0.574, 2.262, 0.828
0.073, 0.045, 0.021
0.412, 2.001, 0.625
0.382, 1.998, 0.6
0.397, 1.998, 0.613
0.315, 1.823, 0.584
0.042, 0.05, 0.02
0.089, 0.118, 0.055
0.763, 1.808, 0.846
0.642, 1.777, 1.012
0.4, 1.807, 0.593
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.763, 1.807, 0.846
0.642, 1.777, 1.012
0.399, 1.807, 0.592
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.763, 1.807, 0.846
0.642, 1.777, 1.012
0.415, 1.685, 0.552
0.228, 0.512, 0.17
0.19, 0.321, 0.15
0.233, 0.512, 0.249
0.796, 1.579, 0.887
0.614, 10.988, 1.244
1.719, 2.626, 1.318
0.104, 0.139, 0.072
0.568, 2.225, 0.816
0.071, 0.045, 0.019
0.411, 1.966, 0.622
0.381, 1.966, 0.598
0.397, 1.966, 0.611
0.315, 1.823, 0.584
0.042, 0.05, 0.02
0.089, 0.118, 0.055
0.763, 1.807, 0.846
0.642, 1.777, 1.012
0.4, 1.807, 0.593
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.762, 1.807, 0.846
0.642, 1.777, 1.012
0.4, 1.806, 0.593
0.056, 0.032, 0.015
0.089, 0.118, 0.055
0.762, 1.806, 0.846
0.642, 1.777, 1.012
0.413, 1.639, 0.544
0.233, 0.512, 0.17
0.185, 0.322, 0.15
0.231, 0.512, 0.248
0.792, 1.559, 0.882
1.088, 10.988, 2.477
0.443, 1.879, 0.567
0.284, 0.856, 0.415
0.23, 0.512, 0.248
0.789, 1.55, 0.879
1.181, 18.718, 2.261
0.169, 0.181, 0.091
0.528, 1.755, 0.542
0.593, 1.755, 0.836
0.64, 2.428, 0.8
0.831, 2.428, 1.124
0.992, 3.206, 1.071
0.714, 1.907, 0.871
0.737, 2.856, 0.79
0.378, 0.939, 0.446
1.36, 4.82, 1.514
1.32, 2.143, 1.073
0.945, 1.967, 0.7
0.901, 1.624, 0.584
1.99, 8.661, 3.057
0.463, 1.307, 0.427
0.463, 1.307, 0.487
1.385, 9.116, 2.218
2.005, 9.085, 2.773
1.17, 2.807, 1.236
3.42, 9.085, 4.974
0.69, 1.053, 0.468
1.527, 8.322, 2.391
2.127, 8.291, 2.956
0.995, 2.686, 1.219
2.551, 7.081, 3.97
0.453, 0.691, 0.295
1.405, 7.514, 1.536
0.894, 2.418, 1.346
1.555, 4.653, 1.322
1.411, 4.653, 1.32
1.464, 4.653, 1.522
1.489, 4.653, 1.877
1.977, 4.653, 2.416
0.937, 2.317, 0.767
0.731, 1.504, 0.547
0.52, 1.174, 0.518
1.087, 10.426, 1.831
0.889, 2.053, 0.861
0.952, 3.89, 1.298
0.184, 0.285, 0.115
1.199, 10.426, 2.12
1.113, 10.426, 2.107
0.289, 0.683, 0.259
0.382, 0.611, 0.31
0.954, 2.404, 0.956
1.337, 2.344, 0.963
1.112, 1.541, 0.802
1.354, 10.364, 2.671
1.63, 10.364, 2.978
0.614, 1.573, 0.55
0.778, 1.573, 0.805
0.585, 0.865, 0.434
0.359, 0.421, 0.223
0.67, 5.59, 1.159
2.03, 2.674, 1.431
0.274, 0.588, 0.265
0.74, 2.911, 1.041
0.144, 0.297, 0.144
0.525, 5.106, 1.051
0.488, 5.106, 1.034
0.51, 5.106, 1.06
0.464, 5.106, 1.212
1.323, 5.106, 2.534
0.236, 0.417, 0.194
0.23, 0.555, 0.211
0.271, 0.555, 0.317
0.484, 3.996, 0.952
1.061, 3.996, 1.988
0.238, 0.427, 0.198
0.224, 0.52, 0.198
0.259, 0.52, 0.297
0.496, 4.3, 1.02
1.14, 4.3, 2.138
0.245, 0.456, 0.212
0.22, 0.496, 0.189
0.251, 0.496, 0.283
0.494, 2.45, 0.714
0.238, 0.51, 0.188
0.176, 0.319, 0.151
0.274, 0.51, 0.282
0.908, 2.078, 1.04
1.486, 15.919, 2.489
0.365, 0.549, 0.26
0.842, 2.371, 1.167
2.135, 4.394, 1.868
0.848, 1.742, 0.827
0.835, 1.145, 0.53
1.266, 7.215, 1.741
0.648, 1.543, 0.633
1.552, 7.215, 2.125
2.249, 7.215, 2.573
0.485, 0.642, 0.454
1.926, 14.984, 3.905
0.619, 2.719, 0.846
0.235, 0.062, 0.032
2.523, 14.705, 3.703
1.877, 4.799, 1.696
2.071, 4.799, 1.787
2.171, 4.799, 2.466
1.436, 6.966, 2.072
1.799, 6.966, 2.966
1.467, 3.838, 1.445
2.076, 6.445, 2.363
1.638, 14.107, 2.492
3.522, 9.912, 4.515
1.4, 14.105, 2.144
1.214, 4.485, 1.285
0.599, 2.065, 0.677
0.859, 2.065, 0.922
1.29, 8.806, 1.866
