1.393, 14.048, 2.746
0.379, 0.72, 0.364
0.462, 0.599, 0.246
1.696, 4.219, 1.783
0.506, 1.465, 0.401
0.534, 1.465, 0.537
0.243, 0.124, 0.054
0.508, 0.561, 0.218
0.418, 0.446, 0.223
1.433, 13.306, 3.37
3.035, 13.306, 5.806
0.461, 0.835, 0.343
0.413, 0.68, 0.331
0.386, 0.68, 0.337
2.375, 13.865, 4.502
0.504, 0.491, 0.202
1.233, 4.172, 1.222
1.139, 4.172, 1.361
0.828, 1.426, 0.675
1.186, 11.608, 2.223
0.421, 0.632, 0.316
0.386, 0.508, 0.229
0.739, 2.895, 0.79
0.988, 2.895, 1.076
0.813, 1.477, 0.709
0.46, 0.45, 0.183
0.389, 0.402, 0.202
1.836, 11.486, 3.766
0.378, 0.379, 0.173
0.753, 1.487, 0.666
0.962, 3.245, 0.916
1.073, 3.245, 0.97
0.577, 0.907, 0.361
0.643, 0.907, 0.443
2.648, 13.328, 4.568
0.888, 2.028, 0.941
1.553, 20.522, 3.61
0.283, 0.346, 0.174
1.103, 4.164, 1.431
1.781, 4.084, 1.853
1.111, 4.395, 1.371
1.563, 4.327, 1.968
1.311, 3.087, 1.413
0.692, 1.56, 0.705
1.593, 17.012, 2.891
0.986, 1.488, 0.815
1.311, 3.85, 1.881
0.882, 2.079, 0.972
1.528, 5.619, 1.822
0.627, 1.534, 0.671
1.849, 5.619, 2.418
1.268, 3.864, 1.84
2.192, 16.951, 4.058
2.201, 15.352, 3.783
1.951, 9.313, 2.998
2.856, 9.313, 3.846
2.201, 15.352, 5.023
3.709, 15.352, 6.636
2.243, 16.913, 4.394
2.329, 16.913, 4.529
2.378, 16.913, 4.68
2.543, 16.91, 4.929
2.925, 16.91, 5.305
2.442, 15.866, 4.648
3.015, 15.864, 5.211
2.233, 12.816, 4.16
3.548, 12.768, 5.435
1.703, 16.404, 3.298
2.295, 9.031, 2.883
3.007, 9.031, 3.343
2.779, 6.482, 3.044
1.503, 16.4, 3.498
1.569, 16.4, 3.588
1.641, 16.4, 3.686
1.678, 16.4, 3.849
1.864, 16.4, 4.109
1.357, 14.601, 3.072
1.579, 14.601, 3.37
0.72, 2.391, 0.738
0.663, 2.391, 0.791
0.931, 2.38, 0.991
1.717, 6.197, 2.136
0.529, 0.934, 0.385
0.421, 0.476, 0.216
0.829, 1.976, 0.697
0.536, 0.673, 0.34
1.307, 5.205, 1.59
1.842, 5.205, 2.384
1.133, 7.583, 1.514
1.198, 3.07, 1.186
2.214, 7.422, 2.488
2.54, 7.422, 2.773
4.105, 7.422, 3.724
0.875, 4.666, 1.173
1.381, 4.664, 1.741
0.344, 0.57, 0.216
0.276, 0.651, 0.176
0.209, 0.345, 0.115
0.758, 2.238, 0.796
1.136, 1.958, 0.98
0.823, 2.238, 0.897
2.799, 12.91, 4.666
5.328, 12.91, 6.886
1.604, 6.975, 1.91
0.268, 0.385, 0.197
1.387, 4.651, 1.581
1.741, 6.869, 2.176
1.927, 6.869, 2.449
1.029, 1.193, 0.597
2.603, 13.265, 4.533
0.89, 2.033, 0.943
2.309, 13.42, 3.643
0.709, 1.397, 0.657
2.266, 4.248, 2.225
1.296, 18.733, 2.775
0.499, 0.859, 0.432
0.494, 0.907, 0.349
0.745, 2.905, 0.795
0.994, 2.891, 1.079
0.824, 1.519, 0.728
0.461, 0.536, 0.211
0.375, 0.446, 0.224
1.94, 12.669, 4.16
0.344, 0.413, 0.194
1.952, 7.26, 2.524
2.283, 7.26, 3.464
0.764, 1.466, 0.556
0.867, 2.45, 0.837
0.639, 2.45, 0.695
0.388, 0.673, 0.222
1.055, 2.651, 0.972
1.228, 2.651, 1.168
0.735, 10.792, 1.639
0.47, 0.882, 0.442
0.371, 0.507, 0.213
0.315, 0.849, 0.246
0.378, 0.849, 0.326
0.344, 0.551, 0.272
0.23, 0.228, 0.092
0.194, 0.203, 0.102
0.343, 0.935, 0.348
0.178, 0.171, 0.081
0.327, 0.54, 0.235
1.267, 2.973, 1.187
1.542, 2.973, 1.355
1.405, 13.193, 2.637
0.421, 0.632, 0.316
0.386, 0.508, 0.229
0.736, 2.909, 0.792
0.988, 2.895, 1.076
