1.376, 12.979, 2.037
0.585, 0.958, 0.49
0.536, 1.269, 0.456
0.403, 0.728, 0.398
0.775, 1.714, 0.579
0.485, 0.92, 0.302
0.39, 0.685, 0.226
0.389, 0.684, 0.225
0.388, 0.683, 0.225
1.379, 7.069, 1.677
1.341, 7.069, 1.668
1.438, 7.069, 1.737
1.24, 7.069, 1.709
1.316, 7.069, 1.797
1.028, 7.069, 1.681
0.479, 0.969, 0.506
0.677, 1.619, 0.854
3.087, 6.889, 3.579
0.34, 0.364, 0.2
2.488, 4.188, 2.095
1.504, 5.234, 1.704
1.415, 5.234, 1.903
1.0, 2.188, 1.238
2.232, 5.611, 1.813
2.639, 5.611, 2.247
2.004, 8.316, 2.654
1.668, 2.874, 1.278
0.969, 4.869, 1.314
1.201, 4.869, 1.708
1.825, 4.74, 2.714
2.194, 10.177, 3.375
3.743, 10.129, 4.471
0.766, 2.283, 0.787
0.565, 2.06, 0.721
0.89, 1.902, 1.091
2.353, 12.057, 4.352
1.825, 12.92, 4.201
3.481, 12.876, 6.348
1.863, 6.155, 2.216
0.84, 2.414, 0.925
2.094, 7.268, 2.346
2.892, 7.246, 2.857
1.251, 3.57, 1.23
1.428, 3.548, 1.435
1.982, 15.899, 4.695
0.519, 1.296, 0.696
0.234, 0.017, 0.01
4.073, 24.505, 6.14
0.469, 1.087, 0.568
7.448, 24.219, 8.97
9.679, 23.5, 10.46
1.018, 17.101, 1.706
0.521, 0.895, 0.448
0.636, 1.559, 0.5
0.493, 0.481, 0.242
1.503, 6.276, 2.073
1.482, 3.666, 1.516
0.509, 2.004, 0.615
0.242, 0.126, 0.07
1.034, 8.747, 2.032
1.363, 8.747, 2.706
1.58, 8.747, 3.527
1.627, 7.045, 3.055
0.515, 1.672, 0.548
0.294, 0.418, 0.163
1.206, 3.578, 1.444
0.188, 0.101, 0.051
0.772, 3.174, 1.043
0.087, 0.125, 0.056
0.855, 3.644, 0.982
0.771, 3.644, 0.946
0.745, 3.644, 0.984
0.163, 0.257, 0.131
0.71, 2.067, 0.989
0.859, 3.644, 1.111
1.038, 3.518, 1.487
0.872, 3.23, 1.077
0.763, 2.951, 0.978
0.279, 0.04, 0.018
0.656, 1.816, 0.816
0.396, 0.981, 0.331
0.249, 0.125, 0.067
0.679, 2.493, 0.813
0.443, 1.467, 0.565
0.754, 2.363, 0.767
0.329, 0.268, 0.143
0.446, 2.587, 0.6
0.361, 2.485, 0.495
0.124, 0.125, 0.058
0.213, 0.37, 0.157
0.511, 2.459, 0.716
0.562, 2.439, 0.811
0.74, 2.429, 1.185
0.287, 0.557, 0.287
0.732, 2.382, 0.916
1.376, 2.88, 1.077
0.888, 5.339, 1.232
1.147, 5.339, 1.541
1.014, 5.325, 2.135
1.247, 3.911, 1.444
1.904, 3.72, 1.676
0.679, 3.513, 0.878
0.685, 3.513, 0.928
0.688, 3.457, 0.998
0.352, 0.629, 0.284
0.877, 2.207, 0.857
1.982, 7.257, 2.803
1.294, 9.161, 1.783
0.826, 2.344, 0.726
0.877, 1.718, 0.683
0.628, 1.601, 0.716
0.588, 2.344, 0.801
0.854, 2.344, 1.059
1.416, 9.161, 2.073
0.79, 2.422, 1.035
1.487, 6.458, 2.093
0.311, 0.675, 0.251
1.621, 9.139, 2.403
1.65, 9.139, 2.618
0.305, 0.678, 0.294
3.127, 9.138, 4.243
1.601, 5.003, 2.328
1.022, 3.316, 1.007
1.351, 3.297, 1.405
1.869, 10.708, 3.02
3.229, 10.634, 4.597
0.802, 1.8, 0.79
1.127, 17.496, 2.168
0.242, 0.291, 0.147
0.624, 2.323, 0.748
0.405, 0.675, 0.338
1.289, 4.906, 1.777
2.054, 9.243, 3.324
2.032, 9.743, 3.5
1.946, 9.667, 3.53
1.794, 9.717, 3.578
1.806, 9.625, 3.571
0.82, 2.647, 0.692
0.621, 1.406, 0.627
0.634, 1.449, 0.594
0.632, 0.787, 0.327
0.81, 6.074, 1.023
1.135, 3.596, 1.698
0.717, 2.002, 0.826
0.831, 1.824, 0.824
0.656, 2.002, 0.846
0.936, 1.764, 0.779
0.666, 1.721, 0.689
1.156, 5.965, 1.717
0.482, 0.881, 0.42
0.442, 0.455, 0.195
0.655, 1.103, 0.493
0.72, 1.992, 0.842
0.385, 0.584, 0.205
0.435, 0.574, 0.264
0.507, 0.641, 0.321
0.961, 9.249, 2.425
1.271, 9.249, 3.037
0.61, 1.563, 0.588
0.754, 1.562, 0.71
0.877, 2.578, 0.916
1.125, 2.578, 1.197
0.968, 2.901, 0.918
0.893, 2.9, 1.001
0.813, 2.3, 1.041
1.002, 2.012, 0.822
1.247, 7.602, 1.815
0.164, 0.281, 0.141
0.353, 0.759, 0.367
1.377, 3.409, 1.641
1.019, 2.936, 1.171
1.328, 6.488, 1.772
1.349, 6.488, 1.885
1.125, 6.488, 1.904
0.115, 0.108, 0.061
1.357, 6.34, 2.147
1.727, 6.34, 2.407
0.951, 4.947, 1.601
1.097, 4.947, 1.817
1.022, 9.105, 1.576
0.447, 0.711, 0.378
0.44, 0.991, 0.48
0.918, 2.3, 0.874
1.02, 2.3, 1.059
1.088, 2.57, 0.962
0.56, 1.097, 0.486
1.667, 2.431, 1.117
1.808, 2.206, 1.008
0.726, 4.676, 0.952
0.962, 4.617, 1.381
1.106, 4.617, 1.527
1.83, 4.463, 2.496
0.616, 1.843, 0.577
0.322, 0.643, 0.333
0.817, 1.817, 0.68
0.833, 1.817, 0.738
1.956, 14.748, 3.051
0.864, 1.295, 0.694
0.985, 3.166, 1.339
1.077, 4.554, 1.531
0.528, 1.174, 0.591
1.645, 4.55, 2.139
1.407, 4.55, 2.166
2.147, 8.546, 2.766
1.18, 4.006, 1.304
1.116, 3.975, 1.5
0.685, 0.916, 0.365
1.067, 19.001, 2.417
1.313, 2.938, 1.544
0.595, 2.994, 0.938
0.958, 2.994, 1.407
1.1, 6.131, 1.66
1.215, 6.105, 1.65
1.394, 6.105, 1.733
1.811, 6.105, 2.188
2.008, 6.105, 2.815
0.809, 1.967, 1.074
1.298, 4.742, 2.331
1.106, 11.438, 2.298
1.183, 11.403, 2.423
1.355, 11.403, 2.586
3.555, 11.31, 5.301
0.772, 1.422, 0.591
0.675, 1.547, 0.817
1.446, 5.428, 2.684
1.034, 4.768, 1.358
1.512, 4.708, 1.646
0.476, 2.076, 0.635
0.106, 0.17, 0.07
0.423, 2.277, 0.586
0.404, 0.73, 0.312
0.549, 2.277, 0.796
0.755, 2.277, 1.048
1.058, 11.866, 2.918
1.711, 11.859, 3.846
0.654, 1.325, 0.681
0.123, 0.202, 0.088
0.735, 6.337, 1.386
0.499, 2.053, 0.626
0.751, 2.043, 0.917
0.163, 0.434, 0.143
0.187, 0.429, 0.244
0.833, 5.819, 1.548
0.101, 0.219, 0.096
1.093, 5.819, 1.756
0.534, 2.332, 0.796
0.393, 1.307, 0.629
2.483, 5.819, 2.591
0.361, 0.636, 0.318
1.175, 12.978, 2.066
0.964, 2.432, 1.308
0.624, 2.185, 1.071
0.289, 0.797, 0.303
0.328, 0.743, 0.354
0.48, 0.558, 0.395
0.259, 0.797, 0.333
0.104, 0.1, 0.05
1.984, 12.093, 3.528
3.669, 12.005, 5.188
0.615, 1.801, 0.756
0.889, 1.801, 0.927
2.693, 12.832, 4.101
1.911, 4.246, 1.836
0.963, 8.071, 1.645
1.196, 8.063, 1.854
1.69, 8.063, 3.591
1.152, 3.318, 1.204
0.666, 1.166, 0.485
0.267, 0.974, 0.42
0.068, 0.04, 0.022
1.076, 6.841, 1.699
1.336, 6.841, 1.896
0.966, 4.573, 2.032
1.553, 6.74, 2.384
0.726, 1.517, 0.596
0.177, 0.592, 0.254
0.051, 0.023, 0.012
1.186, 7.41, 1.918
1.482, 7.41, 2.145
1.46, 7.015, 3.119
1.894, 7.314, 2.574
0.717, 1.538, 0.605
0.215, 0.788, 0.342
0.05, 0.021, 0.011
1.132, 8.236, 1.898
1.416, 8.236, 2.131
1.699, 8.236, 3.667
1.593, 5.842, 2.061
0.711, 1.515, 0.597
0.2, 0.713, 0.308
0.05, 0.019, 0.011
1.302, 2.338, 1.179
1.55, 15.946, 2.619
0.763, 1.681, 0.737
1.042, 1.545, 0.796
0.372, 1.316, 0.322
0.425, 1.316, 0.389
0.231, 0.036, 0.019
0.278, 0.2, 0.111
1.2, 6.329, 2.056
0.787, 3.807, 1.387
1.227, 3.655, 1.798
1.074, 13.168, 2.237
0.393, 2.74, 0.757
0.154, 0.404, 0.15
0.624, 2.74, 1.207
1.442, 13.166, 2.795
4.36, 12.948, 5.978
0.897, 5.722, 1.35
0.551, 1.865, 0.666
0.86, 1.86, 0.776
1.52, 5.505, 1.951
1.85, 5.505, 2.273
1.996, 13.792, 3.954
0.446, 0.62, 0.254
2.292, 10.493, 3.101
1.974, 5.783, 2.695
0.857, 1.993, 0.726
1.049, 1.967, 0.871
1.982, 10.331, 3.177
1.959, 10.291, 3.747
0.341, 0.512, 0.263
