1.34, 16.427, 3.099
0.284, 0.475, 0.237
0.466, 1.065, 0.424
1.316, 2.748, 1.213
0.911, 4.328, 1.408
0.279, 0.608, 0.23
0.342, 0.574, 0.282
0.618, 4.191, 0.837
0.266, 0.442, 0.221
1.027, 3.125, 1.529
0.44, 2.226, 0.578
0.231, 0.489, 0.201
0.383, 0.846, 0.312
0.414, 0.846, 0.362
0.419, 0.846, 0.41
0.95, 3.638, 1.158
1.083, 3.631, 1.788
0.462, 2.113, 0.464
0.445, 2.113, 0.466
0.175, 0.262, 0.104
0.234, 0.217, 0.117
0.374, 1.092, 0.393
0.524, 1.031, 0.44
0.441, 0.963, 0.368
0.641, 0.888, 0.373
0.221, 0.435, 0.192
0.494, 0.751, 0.319
0.838, 2.048, 0.912
1.095, 7.244, 1.595
0.245, 0.062, 0.029
0.52, 0.963, 0.395
1.187, 7.244, 1.737
1.244, 7.244, 1.774
1.066, 6.759, 1.496
1.226, 6.746, 1.754
0.189, 0.219, 0.115
1.18, 3.964, 1.932
2.213, 4.65, 2.348
1.195, 6.703, 1.936
1.486, 6.613, 2.182
1.369, 2.856, 1.493
0.444, 0.491, 0.247
0.967, 3.653, 1.161
0.486, 0.824, 0.415
0.194, 0.356, 0.166
1.476, 3.454, 1.464
0.94, 16.27, 2.222
0.522, 1.125, 0.608
0.388, 1.69, 0.513
0.123, 0.072, 0.037
1.935, 6.108, 2.522
0.462, 0.922, 0.486
0.697, 7.875, 1.29
0.496, 3.187, 0.704
0.617, 3.187, 0.902
0.131, 0.145, 0.076
0.985, 3.17, 1.513
0.348, 0.457, 0.242
0.811, 2.275, 1.052
0.398, 2.152, 0.534
0.498, 1.177, 0.634
0.193, 0.35, 0.163
0.273, 0.785, 0.291
0.344, 0.785, 0.356
0.515, 0.815, 0.345
1.095, 16.606, 2.33
0.346, 0.384, 0.182
0.408, 0.558, 0.25
1.405, 2.523, 1.032
0.965, 1.6, 0.665
0.4, 1.409, 0.419
0.291, 0.843, 0.352
0.373, 0.834, 0.299
0.4, 0.834, 0.348
0.417, 0.834, 0.405
1.553, 13.192, 3.358
2.926, 13.192, 5.791
0.794, 3.032, 1.011
0.932, 3.032, 1.157
1.154, 3.032, 1.411
1.567, 8.224, 2.381
3.32, 8.214, 3.559
0.625, 2.22, 0.755
0.738, 2.22, 0.858
0.834, 2.22, 1.036
1.313, 15.206, 3.183
0.538, 1.695, 0.498
0.343, 0.98, 0.419
0.559, 1.099, 0.455
0.408, 0.798, 0.411
1.454, 7.373, 2.336
0.552, 0.706, 0.39
0.727, 2.71, 0.71
0.695, 2.71, 0.706
0.353, 0.636, 0.283
0.348, 0.515, 0.23
0.653, 1.162, 0.497
0.913, 1.159, 0.508
0.626, 1.597, 0.587
0.79, 1.569, 0.678
1.304, 2.565, 1.016
1.249, 2.565, 1.092
0.514, 0.85, 0.433
0.554, 1.367, 0.638
0.493, 0.89, 0.427
0.981, 2.684, 1.538
1.306, 10.569, 1.988
0.399, 0.639, 0.32
0.382, 0.74, 0.311
1.153, 2.853, 1.165
0.992, 1.963, 0.755
1.279, 4.568, 1.408
1.271, 4.568, 1.481
0.818, 3.363, 1.043
0.344, 0.698, 0.232
0.424, 0.631, 0.28
1.173, 6.388, 1.441
0.382, 0.561, 0.297
0.424, 0.733, 0.287
0.988, 4.057, 1.101
0.625, 1.119, 0.573
0.914, 2.02, 0.745
0.944, 2.02, 0.859
0.955, 2.02, 0.969
1.194, 6.38, 1.461
1.159, 6.38, 1.449
0.177, 0.283, 0.108
0.238, 0.236, 0.123
1.255, 6.38, 1.506
1.296, 6.38, 1.536
1.27, 6.38, 1.564
0.166, 0.209, 0.105
0.469, 0.812, 0.33
1.351, 4.673, 1.308
1.364, 4.673, 1.38
1.041, 2.804, 1.041
1.538, 2.804, 1.17
1.896, 4.628, 1.892
1.756, 3.864, 2.01
0.388, 0.84, 0.351
0.565, 0.795, 0.415
0.724, 5.49, 1.048
0.36, 0.568, 0.289
0.471, 0.847, 0.311
0.725, 4.352, 1.111
0.449, 1.193, 0.502
0.517, 1.161, 0.451
0.525, 1.161, 0.513
0.499, 1.161, 0.548
0.664, 5.49, 0.988
0.629, 5.49, 0.983
0.155, 0.252, 0.099
0.218, 0.206, 0.106
0.607, 5.49, 0.975
0.629, 5.49, 1.006
0.576, 5.49, 1.028
0.134, 0.14, 0.077
0.225, 0.403, 0.164
0.554, 2.762, 0.617
0.565, 2.762, 0.646
0.392, 0.827, 0.333
0.568, 0.821, 0.351
0.827, 2.735, 0.96
1.132, 2.735, 1.478
0.38, 0.733, 0.34
0.55, 0.7, 0.4
1.266, 19.642, 2.848
0.719, 1.58, 0.855
0.221, 0.436, 0.143
0.121, 0.081, 0.045
1.257, 7.87, 1.903
1.163, 7.87, 1.788
1.152, 7.866, 1.958
0.248, 0.405, 0.204
2.308, 7.804, 3.756
1.915, 4.238, 1.874
0.33, 0.457, 0.196
0.891, 5.675, 1.562
0.506, 1.203, 0.649
0.193, 0.348, 0.162
1.988, 5.632, 3.233
0.625, 1.16, 0.49
1.107, 6.66, 1.638
0.347, 0.686, 0.35
0.887, 2.262, 0.926
1.148, 2.048, 0.837
1.026, 6.522, 1.75
1.038, 6.522, 1.866
0.841, 6.522, 1.928
0.176, 0.352, 0.119
0.215, 0.319, 0.143
0.901, 16.269, 2.253
0.483, 0.924, 0.478
0.42, 0.563, 0.282
0.221, 0.229, 0.11
0.744, 6.888, 1.204
1.28, 3.365, 1.549
0.532, 2.493, 0.667
0.674, 2.493, 0.862
0.155, 0.206, 0.104
0.738, 2.427, 1.2
0.513, 0.695, 0.315
0.387, 2.091, 0.534
0.545, 1.296, 0.697
0.192, 0.344, 0.16
